model_name,display_name,input_type,sample_id,row_index,selection_group,selected_from_model,true_label,true_class_name,explained_predicted_label,explained_predicted_class_name,feature_rank,feature,shap_value,abs_shap_value,original_feature_value,model_input_feature_value
logistic_regression,Logistic Regression,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,1,ShapeFactor1,2.8645229900141294,2.8645229900141294,0.005314961869829,-1.1050931589179638
logistic_regression,Logistic Regression,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,2,roundness,0.864478326648348,0.864478326648348,0.9045325908282456,0.5183217787978041
logistic_regression,Logistic Regression,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,3,MinorAxisLength,0.7209074477616214,0.7209074477616214,240.5130294492974,0.8477767819176024
logistic_regression,Logistic Regression,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,4,EquivDiameter,0.7117838344294948,0.7117838344294948,293.6475351976314,0.6863912857027362
logistic_regression,Logistic Regression,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,5,ShapeFactor2,0.6380804421805377,0.6380804421805377,0.0014521595602311,-0.4494768743905221
logistic_regression,Logistic Regression,scaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,1,ShapeFactor1,1.9083881930299122,1.9083881930299122,0.0056897429947588,-0.7730868874382189
logistic_regression,Logistic Regression,scaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,2,ShapeFactor2,1.424755427386879,1.424755427386879,0.0011735798544305,-0.9168432112039804
logistic_regression,Logistic Regression,scaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,3,ShapeFactor4,-0.8435878648275524,0.8435878648275524,0.997570025272178,0.573635466516168
logistic_regression,Logistic Regression,scaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,4,Eccentricity,0.8079303211890763,0.8079303211890763,0.8148552227551156,0.7032443731176219
logistic_regression,Logistic Regression,scaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,5,MajorAxisLength,0.7917753679788703,0.7917753679788703,386.98786978852297,0.7839859399786914
logistic_regression,Logistic Regression,scaled,2591,66,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,1,ShapeFactor1,2.1510188745963634,2.1510188745963634,0.0055946377856745,-0.857337464017534
logistic_regression,Logistic Regression,scaled,2591,66,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,2,ShapeFactor4,1.8081507758842967,1.8081507758842967,0.9880679024330704,-1.603589852677381
logistic_regression,Logistic Regression,scaled,2591,66,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,3,ShapeFactor2,1.2537785715823258,1.2537785715823258,0.0012341266915417,-0.8152652682415545
logistic_regression,Logistic Regression,scaled,2591,66,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,4,roundness,-1.0460459732044685,1.0460459732044685,0.8358830384499509,-0.6420037727975543
logistic_regression,Logistic Regression,scaled,2591,66,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,5,EquivDiameter,0.7252004398523068,0.7252004398523068,294.29720826243783,0.6973523027999835
logistic_regression,Logistic Regression,scaled,2790,126,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,1,ShapeFactor1,3.0430832202947555,3.0430832202947555,0.0052449706884774,-1.1670960443657297
logistic_regression,Logistic Regression,scaled,2790,126,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,2,ShapeFactor2,0.9057973226799912,0.9057973226799912,0.0013573548553531,-0.6085284015079594
logistic_regression,Logistic Regression,scaled,2790,126,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,3,EquivDiameter,0.8766304781623647,0.8766304781623647,301.6299138159141,0.8210666990012154
logistic_regression,Logistic Regression,scaled,2790,126,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,4,MinorAxisLength,0.8028157271419922,0.8028157271419922,244.4125876142546,0.9343446540621446
logistic_regression,Logistic Regression,scaled,2790,126,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,5,MajorAxisLength,0.621983811251497,0.621983811251497,374.7846255158424,0.6416204642151777
logistic_regression,Logistic Regression,scaled,2883,553,barbunya_predicted_as_cali,mlp,0,BARBUNYA,2,CALI,1,ShapeFactor1,3.2805212950739238,3.2805212950739238,0.0051519008524589,-1.2495435508924289
logistic_regression,Logistic Regression,scaled,2883,553,barbunya_predicted_as_cali,mlp,0,BARBUNYA,2,CALI,2,EquivDiameter,0.9477501706977078,0.9477501706977078,305.07374682444606,0.8791696349722938
logistic_regression,Logistic Regression,scaled,2883,553,barbunya_predicted_as_cali,mlp,0,BARBUNYA,2,CALI,3,MinorAxisLength,0.8994005457175018,0.8994005457175018,249.01087878501625,1.0364239833900204
logistic_regression,Logistic Regression,scaled,2883,553,barbunya_predicted_as_cali,mlp,0,BARBUNYA,2,CALI,4,ShapeFactor2,0.8738478017183023,0.8738478017183023,0.0013686689155652,-0.5895470803071935
logistic_regression,Logistic Regression,scaled,2883,553,barbunya_predicted_as_cali,mlp,0,BARBUNYA,2,CALI,5,MajorAxisLength,0.6470822256354658,0.6470822256354658,376.5884966121909,0.6626647833412505
logistic_regression,Logistic Regression,scaled,3330,895,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,1,ShapeFactor1,4.319960630455829,4.319960630455829,0.0047444664147212,-1.610476318173805
logistic_regression,Logistic Regression,scaled,3330,895,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,2,EquivDiameter,1.767933754959548,1.767933754959548,344.7895442336276,1.5492382556600577
logistic_regression,Logistic Regression,scaled,3330,895,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,3,ShapeFactor2,1.7056950217610558,1.7056950217610558,0.0010740926824468,-1.0837503984893089
logistic_regression,Logistic Regression,scaled,3330,895,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,4,MajorAxisLength,1.570848399456395,1.570848399456395,442.9813402096897,1.4372169069278256
logistic_regression,Logistic Regression,scaled,3330,895,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,5,MinorAxisLength,1.3208599046552987,1.3208599046552987,269.0760699570991,1.4818592943824211
logistic_regression,Logistic Regression,scaled,3450,1567,correct_bombay,logistic_regression,1,BOMBAY,1,BOMBAY,1,Area,7.574755079727736,7.574755079727736,153261.0,3.4149260031028907
logistic_regression,Logistic Regression,scaled,3450,1567,correct_bombay,logistic_regression,1,BOMBAY,1,BOMBAY,2,ConvexArea,7.5118560872139115,7.5118560872139115,154519.0,3.381785603455392
logistic_regression,Logistic Regression,scaled,3450,1567,correct_bombay,logistic_regression,1,BOMBAY,1,BOMBAY,3,MinorAxisLength,6.338560781027717,6.338560781027717,362.1338272028383,3.547686162590045
logistic_regression,Logistic Regression,scaled,3450,1567,correct_bombay,logistic_regression,1,BOMBAY,1,BOMBAY,4,EquivDiameter,4.886574997423471,4.886574997423471,441.74423127603575,3.185017911457707
logistic_regression,Logistic Regression,scaled,3450,1567,correct_bombay,logistic_regression,1,BOMBAY,1,BOMBAY,5,Perimeter,3.8049735651794796,3.8049735651794796,1457.451,2.810666790742582
logistic_regression,Logistic Regression,scaled,3869,806,correct_bombay,logistic_regression,1,BOMBAY,1,BOMBAY,1,ConvexArea,15.396504023234192,15.396504023234192,257425.0,6.834812830363772
logistic_regression,Logistic Regression,scaled,3869,806,correct_bombay,logistic_regression,1,BOMBAY,1,BOMBAY,2,Area,15.200548155221252,15.200548155221252,251432.0,6.759250256079441
logistic_regression,Logistic Regression,scaled,3869,806,correct_bombay,logistic_regression,1,BOMBAY,1,BOMBAY,3,MinorAxisLength,9.947687572667789,9.947687572667789,450.926186722595,5.518823737967868
logistic_regression,Logistic Regression,scaled,3869,806,correct_bombay,logistic_regression,1,BOMBAY,1,BOMBAY,4,EquivDiameter,8.207190671235677,8.207190671235677,565.8031152369625,5.278088444659286
logistic_regression,Logistic Regression,scaled,3869,806,correct_bombay,logistic_regression,1,BOMBAY,1,BOMBAY,5,Perimeter,6.828208713248172,6.828208713248172,1919.868,4.966718210859961
logistic_regression,Logistic Regression,scaled,10554,1099,correct_dermason,random_forest,3,DERMASON,3,DERMASON,1,ShapeFactor1,3.971344304854925,3.971344304854925,0.0078833268077651,1.170136862346293
