seed,model_name,display_name,input_type,explainer_type,sample_id,row_index,selection_seed,selection_group,selected_from_model,true_label,true_class_name,explained_predicted_label,explained_predicted_class_name,feature_rank,feature,shap_value,abs_shap_value,original_feature_value,model_input_feature_value
7,random_forest,Random Forest,unscaled,tree,2573,192,1,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,1,roundness,0.14679209886978004,0.14679209886978004,0.9045325908282456,0.9045325908282456
7,random_forest,Random Forest,unscaled,tree,2573,192,1,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,2,Perimeter,0.0997589012052172,0.0997589012052172,969.983,969.983
7,random_forest,Random Forest,unscaled,tree,2573,192,1,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,3,Solidity,0.07318928645528959,0.07318928645528959,0.9917408622305528,0.9917408622305528
7,random_forest,Random Forest,unscaled,tree,2573,192,1,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,4,ConvexArea,0.061245793282715386,0.061245793282715386,68288.0,68288.0
7,random_forest,Random Forest,unscaled,tree,2573,192,1,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,5,MinorAxisLength,0.057450141270212404,0.057450141270212404,240.5130294492974,240.5130294492974
7,random_forest,Random Forest,unscaled,tree,2590,960,1,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,1,Perimeter,0.11248987681431889,0.11248987681431889,993.761,993.761
7,random_forest,Random Forest,unscaled,tree,2590,960,1,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,2,ShapeFactor4,-0.09664242583425431,0.09664242583425431,0.997570025272178,0.997570025272178
7,random_forest,Random Forest,unscaled,tree,2590,960,1,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,3,Solidity,0.08116844237019386,0.08116844237019386,0.9911111111111112,0.9911111111111112
7,random_forest,Random Forest,unscaled,tree,2590,960,1,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,4,MajorAxisLength,0.07535498743198842,0.07535498743198842,386.98786978852297,386.98786978852297
7,random_forest,Random Forest,unscaled,tree,2590,960,1,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,5,roundness,0.07335262599788098,0.07335262599788098,0.8654673100101826,0.8654673100101826
7,random_forest,Random Forest,unscaled,tree,2591,66,1,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,1,Perimeter,0.11933274999523898,0.11933274999523898,1011.261,1011.261
7,random_forest,Random Forest,unscaled,tree,2591,66,1,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,2,ShapeFactor4,0.08109986820766632,0.08109986820766632,0.9880679024330704,0.9880679024330704
7,random_forest,Random Forest,unscaled,tree,2591,66,1,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,3,MajorAxisLength,0.07503968666295388,0.07503968666295388,380.5696407327228,380.5696407327228
7,random_forest,Random Forest,unscaled,tree,2591,66,1,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,4,MinorAxisLength,0.07429005164756429,0.07429005164756429,230.3304483927484,230.3304483927484
7,random_forest,Random Forest,unscaled,tree,2591,66,1,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,5,ShapeFactor1,0.0740396341203471,0.0740396341203471,0.0055946377856745,0.0055946377856745
7,random_forest,Random Forest,unscaled,tree,2668,479,1,barbunya_predicted_as_cali,random_forest,0,BARBUNYA,2,CALI,1,ShapeFactor4,-0.11078341180524486,0.11078341180524486,0.9966797594380294,0.9966797594380294
7,random_forest,Random Forest,unscaled,tree,2668,479,1,barbunya_predicted_as_cali,random_forest,0,BARBUNYA,2,CALI,2,Perimeter,0.09732792242879543,0.09732792242879543,1003.29,1003.29
7,random_forest,Random Forest,unscaled,tree,2668,479,1,barbunya_predicted_as_cali,random_forest,0,BARBUNYA,2,CALI,3,roundness,0.0721434668178036,0.0721434668178036,0.8643484671476966,0.8643484671476966
7,random_forest,Random Forest,unscaled,tree,2668,479,1,barbunya_predicted_as_cali,random_forest,0,BARBUNYA,2,CALI,4,MajorAxisLength,0.0610305417104229,0.0610305417104229,379.8828948294386,379.8828948294386
7,random_forest,Random Forest,unscaled,tree,2668,479,1,barbunya_predicted_as_cali,random_forest,0,BARBUNYA,2,CALI,5,Solidity,0.05761837122634606,0.05761837122634606,0.9902740431374792,0.9902740431374792
7,random_forest,Random Forest,unscaled,tree,2790,126,1,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,1,roundness,0.16968168296200928,0.16968168296200928,0.8876587307353914,0.8876587307353914
7,random_forest,Random Forest,unscaled,tree,2790,126,1,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,2,Perimeter,0.09164974101700395,0.09164974101700395,1005.7759999999998,1005.7759999999998
7,random_forest,Random Forest,unscaled,tree,2790,126,1,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,3,ConvexArea,0.060999613749374605,0.060999613749374605,72262.0,72262.0
7,random_forest,Random Forest,unscaled,tree,2790,126,1,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,4,MajorAxisLength,0.060826763700633266,0.060826763700633266,374.7846255158424,374.7846255158424
7,random_forest,Random Forest,unscaled,tree,2790,126,1,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,5,MinorAxisLength,0.05678401841068902,0.05678401841068902,244.4125876142546,244.4125876142546
7,random_forest,Random Forest,unscaled,tree,2883,553,1,barbunya_predicted_as_cali,mlp,0,BARBUNYA,0,BARBUNYA,1,roundness,-0.12353329199332796,0.12353329199332796,0.8680784148896584,0.8680784148896584
7,random_forest,Random Forest,unscaled,tree,2883,553,1,barbunya_predicted_as_cali,mlp,0,BARBUNYA,0,BARBUNYA,2,Perimeter,0.09808747771760473,0.09808747771760473,1028.668,1028.668
7,random_forest,Random Forest,unscaled,tree,2883,553,1,barbunya_predicted_as_cali,mlp,0,BARBUNYA,0,BARBUNYA,3,Compactness,0.06640462969302086,0.06640462969302086,0.8100984219350958,0.8100984219350958
7,random_forest,Random Forest,unscaled,tree,2883,553,1,barbunya_predicted_as_cali,mlp,0,BARBUNYA,0,BARBUNYA,4,ShapeFactor3,0.06591640384748819,0.06591640384748819,0.6562594532217325,0.6562594532217325
7,random_forest,Random Forest,unscaled,tree,2883,553,1,barbunya_predicted_as_cali,mlp,0,BARBUNYA,0,BARBUNYA,5,ShapeFactor4,-0.06456110728381526,0.06456110728381526,0.9924857985408702,0.9924857985408702
7,random_forest,Random Forest,unscaled,tree,3330,895,1,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,0,BARBUNYA,1,ShapeFactor4,0.20232798901063154,0.20232798901063154,0.997350170071718,0.997350170071718
