model_name,display_name,input_type,sample_id,row_index,selection_group,selected_from_model,true_label,true_class_name,explained_predicted_label,explained_predicted_class_name,feature_rank,feature_index,feature,lime_weight,abs_lime_weight,original_feature_value,model_input_feature_value,lime_rule
random_forest,Random Forest,unscaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,1,6,ConvexArea,0.0385758471506436,0.0385758471506436,68288.0,68288.0,ConvexArea > 62397.00
random_forest,Random Forest,unscaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,2,12,ShapeFactor1,0.036070692671710015,0.036070692671710015,0.005314961869829,0.005314961869829,ShapeFactor1 <= 0.01
random_forest,Random Forest,unscaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,3,7,EquivDiameter,0.035665467628649895,0.035665467628649895,293.6475351976314,293.6475351976314,EquivDiameter > 279.66
random_forest,Random Forest,unscaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,4,3,MinorAxisLength,0.030922186014596797,0.030922186014596797,240.5130294492974,240.5130294492974,MinorAxisLength > 217.07
random_forest,Random Forest,unscaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,5,0,Area,0.026916519078118904,0.026916519078118904,67724.0,67724.0,Area > 61427.25
random_forest,Random Forest,unscaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,6,2,MajorAxisLength,0.016234753713423755,0.016234753713423755,359.95047767229994,359.95047767229994,296.52 < MajorAxisLength <= 375.90
random_forest,Random Forest,unscaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,7,1,Perimeter,0.01603505482077365,0.01603505482077365,969.983,969.983,793.88 < Perimeter <= 976.00
random_forest,Random Forest,unscaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,8,10,roundness,0.014668328817732194,0.014668328817732194,0.9045325908282456,0.9045325908282456,0.88 < roundness <= 0.92
random_forest,Random Forest,unscaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,9,14,ShapeFactor3,-0.005748966388354251,0.005748966388354251,0.6655293476884537,0.6655293476884537,0.64 < ShapeFactor3 <= 0.70
random_forest,Random Forest,unscaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,10,11,Compactness,-0.005499312477637701,0.005499312477637701,0.8157998208436024,0.8157998208436024,0.80 < Compactness <= 0.83
random_forest,Random Forest,unscaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,11,9,Solidity,0.004714135816007574,0.004714135816007574,0.9917408622305528,0.9917408622305528,Solidity > 0.99
random_forest,Random Forest,unscaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,12,13,ShapeFactor2,0.0025895623711809897,0.0025895623711809897,0.0014521595602311,0.0014521595602311,0.00 < ShapeFactor2 <= 0.00
random_forest,Random Forest,unscaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,13,8,Extent,0.0022482658551313513,0.0022482658551313513,0.7993107355301671,0.7993107355301671,Extent > 0.79
random_forest,Random Forest,unscaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,14,15,ShapeFactor4,0.0015545730166312425,0.0015545730166312425,0.9960275630551412,0.9960275630551412,0.99 < ShapeFactor4 <= 1.00
random_forest,Random Forest,unscaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,15,5,Eccentricity,-0.0011986262671014316,0.0011986262671014316,0.7439963639732731,0.7439963639732731,0.72 < Eccentricity <= 0.76
