model_name,display_name,input_type,sample_id,row_index,selection_group,selected_from_model,true_label,true_class_name,explained_predicted_label,explained_predicted_class_name,feature_rank,feature_index,feature,lime_weight,abs_lime_weight,original_feature_value,model_input_feature_value,lime_rule
logistic_regression,Logistic Regression,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,1,12,ShapeFactor1,0.16718640965316306,0.16718640965316306,0.005314961869829,-1.1050931589179638,ShapeFactor1 <= -0.59
logistic_regression,Logistic Regression,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,2,7,EquivDiameter,0.1276675069663955,0.1276675069663955,293.6475351976314,0.6863912857027362,EquivDiameter > 0.45
logistic_regression,Logistic Regression,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,3,3,MinorAxisLength,0.04372500297281795,0.04372500297281795,240.5130294492974,0.8477767819176024,MinorAxisLength > 0.33
logistic_regression,Logistic Regression,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,4,10,roundness,0.021292143112940195,0.021292143112940195,0.9045325908282456,0.5183217787978041,0.16 < roundness <= 0.73
logistic_regression,Logistic Regression,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,5,13,ShapeFactor2,0.018538236105536378,0.018538236105536378,0.0014521595602311,-0.4494768743905221,-0.94 < ShapeFactor2 <= -0.04
logistic_regression,Logistic Regression,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,6,0,Area,0.013781497064014988,0.013781497064014988,67724.0,0.5009955793845304,Area > 0.29
logistic_regression,Logistic Regression,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,7,1,Perimeter,0.010704507957312533,0.010704507957312533,969.983,0.5378133410169472,-0.28 < Perimeter <= 0.57
logistic_regression,Logistic Regression,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,8,14,ShapeFactor3,-0.010631415174205057,0.010631415174205057,0.6655293476884537,0.2139730463433332,-0.02 < ShapeFactor3 <= 0.52
logistic_regression,Logistic Regression,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,9,6,ConvexArea,0.010607344395753077,0.010607344395753077,68288.0,0.4882906585198527,ConvexArea > 0.29
logistic_regression,Logistic Regression,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,10,11,Compactness,0.0094346748740001,0.0094346748740001,0.8157998208436024,0.2505310725012543,0.02 < Compactness <= 0.55
logistic_regression,Logistic Regression,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,11,4,AspectRation,0.008518271605800742,0.008518271605800742,1.4965945025784193,-0.3436452839002152,-0.61 < AspectRation <= -0.13
logistic_regression,Logistic Regression,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,12,8,Extent,0.007488551695642255,0.007488551695642255,0.7993107355301671,1.0149346111487407,Extent > 0.76
logistic_regression,Logistic Regression,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,13,2,MajorAxisLength,0.007209250035742761,0.007209250035742761,359.95047767229994,0.4685623439233415,-0.27 < MajorAxisLength <= 0.65
logistic_regression,Logistic Regression,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,14,9,Solidity,0.004740646059804744,0.004740646059804744,0.9917408622305528,0.9836686908010036,Solidity > 0.61
logistic_regression,Logistic Regression,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,15,15,ShapeFactor4,-0.004164490442399409,0.004164490442399409,0.9960275630551412,0.2202104635252211,-0.31 < ShapeFactor4 <= 0.30
logistic_regression,Logistic Regression,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,16,5,Eccentricity,0.0009675304032808632,0.0009675304032808632,0.7439963639732731,-0.0679010221515565,-0.37 < Eccentricity <= 0.15
logistic_regression,Logistic Regression,scaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,1,12,ShapeFactor1,0.18977420744050524,0.18977420744050524,0.0056897429947588,-0.7730868874382189,ShapeFactor1 <= -0.59
