seed,model_name,display_name,input_type,explainer_type,sample_id,row_index,selection_seed,selection_group,selected_from_model,true_label,true_class_name,explained_predicted_label,explained_predicted_class_name,feature_rank,feature,shap_value,abs_shap_value,original_feature_value,model_input_feature_value
1,logistic_regression,Logistic Regression,scaled,linear,2573,192,1,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,1,ShapeFactor1,2.864522436524838,2.864522436524838,0.005314961869829,-1.1050931589179638
1,logistic_regression,Logistic Regression,scaled,linear,2573,192,1,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,2,roundness,0.864478182180753,0.864478182180753,0.9045325908282456,0.5183217787978041
1,logistic_regression,Logistic Regression,scaled,linear,2573,192,1,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,3,MinorAxisLength,0.7209073724313456,0.7209073724313456,240.5130294492974,0.8477767819176024
1,logistic_regression,Logistic Regression,scaled,linear,2573,192,1,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,4,EquivDiameter,0.7117837949454195,0.7117837949454195,293.6475351976314,0.6863912857027362
1,logistic_regression,Logistic Regression,scaled,linear,2573,192,1,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,5,ShapeFactor2,0.6380802963858163,0.6380802963858163,0.0014521595602311,-0.4494768743905221
1,logistic_regression,Logistic Regression,scaled,linear,2590,960,1,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,1,ShapeFactor1,1.9083878242870422,1.9083878242870422,0.0056897429947588,-0.7730868874382189
1,logistic_regression,Logistic Regression,scaled,linear,2590,960,1,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,2,ShapeFactor2,1.424755101845134,1.424755101845134,0.0011735798544305,-0.9168432112039804
1,logistic_regression,Logistic Regression,scaled,linear,2590,960,1,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,3,ShapeFactor4,-0.8435875152326169,0.8435875152326169,0.997570025272178,0.573635466516168
1,logistic_regression,Logistic Regression,scaled,linear,2590,960,1,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,4,Eccentricity,0.8079301895748937,0.8079301895748937,0.8148552227551156,0.7032443731176219
1,logistic_regression,Logistic Regression,scaled,linear,2590,960,1,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,5,MajorAxisLength,0.7917753710410586,0.7917753710410586,386.98786978852297,0.7839859399786914
