seed,model_name,display_name,input_type,explainer_type,sample_id,row_index,selection_seed,selection_group,selected_from_model,true_label,true_class_name,explained_predicted_label,explained_predicted_class_name,feature_rank,feature,shap_value,abs_shap_value,original_feature_value,model_input_feature_value
1,decision_tree,Decision Tree,unscaled,tree,2573,192,1,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,1,roundness,0.3011225846120667,0.3011225846120667,0.9045325908282456,0.9045325908282456
1,decision_tree,Decision Tree,unscaled,tree,2573,192,1,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,2,MajorAxisLength,0.2111349896991045,0.2111349896991045,359.95047767229994,359.95047767229994
1,decision_tree,Decision Tree,unscaled,tree,2573,192,1,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,3,MinorAxisLength,0.18609072335332658,0.18609072335332658,240.5130294492974,240.5130294492974
1,decision_tree,Decision Tree,unscaled,tree,2573,192,1,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,4,Perimeter,0.179237458148174,0.179237458148174,969.983,969.983
1,decision_tree,Decision Tree,unscaled,tree,2573,192,1,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,5,ShapeFactor3,-0.047947527634416225,0.047947527634416225,0.6655293476884537,0.6655293476884537
1,decision_tree,Decision Tree,unscaled,tree,2590,960,1,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,1,MajorAxisLength,0.22817897048524244,0.22817897048524244,386.98786978852297,386.98786978852297
1,decision_tree,Decision Tree,unscaled,tree,2590,960,1,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,2,Perimeter,0.20684119143918656,0.20684119143918656,993.761,993.761
1,decision_tree,Decision Tree,unscaled,tree,2590,960,1,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,3,Solidity,0.12952072631299166,0.12952072631299166,0.9911111111111112,0.9911111111111112
1,decision_tree,Decision Tree,unscaled,tree,2590,960,1,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,4,MinorAxisLength,0.12878928279694127,0.12878928279694127,224.32314119220808,224.32314119220808
1,decision_tree,Decision Tree,unscaled,tree,2590,960,1,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,5,roundness,0.11929889890162963,0.11929889890162963,0.8654673100101826,0.8654673100101826
1,decision_tree,Decision Tree,unscaled,tree,2591,66,1,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,1,MajorAxisLength,0.24019015859452866,0.24019015859452866,380.5696407327228,380.5696407327228
1,decision_tree,Decision Tree,unscaled,tree,2591,66,1,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,2,Perimeter,0.23156164618066624,0.23156164618066624,1011.261,1011.261
